model,id,outcome,error_types,regression_type,y0_length,y1_length
llama,gsm8k_test_103,CW,,overthought,157,355
llama,gsm8k_test_104,CW,,overthought,194,814
llama,gsm8k_test_105,CC,,,72,103
llama,gsm8k_test_106,CW,,overthought,163,647
llama,gsm8k_test_107,CC,,,263,414
llama,gsm8k_test_108,CW,,overthought,166,741
llama,gsm8k_test_109,CC,,,142,127
llama,gsm8k_test_110,CC,,,228,538
llama,gsm8k_test_111,CW,,overthought,250,653
llama,gsm8k_test_112,CC,,,133,160
llama,gsm8k_test_113,CC,,,113,167
llama,gsm8k_test_114,CW,,second_guessed,145,247
llama,gsm8k_test_115,CC,,,195,329
llama,gsm8k_test_116,CC,,,101,181
llama,gsm8k_test_117,CC,,,103,27
llama,gsm8k_test_118,CC,,,153,849
llama,gsm8k_test_119,WW,"incomplete,logic",,311,264
llama,gsm8k_test_120,CC,,,133,31
llama,gsm8k_test_121,CC,,,108,126
llama,gsm8k_test_122,CW,,changed_answer,154,269
llama,gsm8k_test_123,CC,,,198,395
llama,gsm8k_test_124,CW,,second_guessed,160,204
llama,gsm8k_test_125,WW,logic,,221,270
llama,gsm8k_test_126,CC,,,118,306
llama,gsm8k_test_127,CC,,,70,119
llama,gsm8k_test_128,CC,,,205,180
llama,gsm8k_test_129,CW,,overthought,174,741
llama,gsm8k_test_130,CW,,changed_answer,125,226
llama,gsm8k_test_131,CC,,,82,24
llama,gsm8k_test_132,CC,,,138,190
llama,gsm8k_test_133,CC,,,104,141
llama,gsm8k_test_134,CC,,,140,28
llama,gsm8k_test_135,CC,,,107,274
llama,gsm8k_test_136,CW,,overthought,98,694
llama,gsm8k_test_137,CC,,,122,570
llama,gsm8k_test_138,CC,,,286,71
llama,gsm8k_test_139,CW,,overthought,117,717
llama,gsm8k_test_140,CW,,overthought,95,650
llama,gsm8k_test_141,CC,,,229,269
llama,gsm8k_test_142,CW,,changed_answer,152,117
llama,gsm8k_test_143,WW,"arithmetic,incomplete",,140,650
llama,gsm8k_test_144,CW,,second_guessed,225,356
llama,gsm8k_test_145,CW,,second_guessed,138,182
llama,gsm8k_test_146,CC,,,96,126
llama,gsm8k_test_147,CW,,changed_answer,204,144
llama,gsm8k_test_148,CW,,second_guessed,108,139
llama,gsm8k_test_149,CW,,overthought,158,701
llama,gsm8k_test_150,CC,,,202,474
llama,gsm8k_test_151,CC,,,242,157
llama,gsm8k_test_152,CC,,,109,64
llama,gsm8k_test_153,WW,"arithmetic,logic",,702,705
llama,gsm8k_test_154,CW,,overthought,247,835
llama,gsm8k_test_155,CC,,,200,273
llama,gsm8k_test_156,CC,,,178,241
llama,gsm8k_test_157,WW,"arithmetic,incomplete",,185,251
llama,gsm8k_test_158,CC,,,106,77
llama,gsm8k_test_159,CC,,,77,202
llama,gsm8k_test_160,CC,,,111,742
llama,gsm8k_test_161,CC,,,147,115
llama,gsm8k_test_162,WW,incomplete,,403,108
llama,gsm8k_test_163,CW,,changed_answer,146,218
llama,gsm8k_test_164,CW,,second_guessed,114,215
llama,gsm8k_test_165,WW,misunderstood,,127,178
llama,gsm8k_test_166,CC,,,168,207
llama,gsm8k_test_167,CW,,second_guessed,184,111
llama,gsm8k_test_168,CC,,,62,90
llama,gsm8k_test_169,CW,,overthought,131,770
llama,gsm8k_test_170,CW,,overthought,175,785
llama,gsm8k_test_171,CC,,,148,63
llama,gsm8k_test_172,CC,,,151,318
llama,gsm8k_test_173,CW,,overthought,141,735
llama,gsm8k_test_174,CC,,,137,255
llama,gsm8k_test_175,WW,"incomplete,logic,misunderstood",,323,296
llama,gsm8k_test_176,CC,,,114,221
llama,gsm8k_test_177,CW,,overthought,165,703
llama,gsm8k_test_178,CC,,,121,182
llama,gsm8k_test_179,CC,,,140,29
llama,gsm8k_test_180,CC,,,111,641
llama,gsm8k_test_181,CC,,,158,146
llama,gsm8k_test_182,CW,,second_guessed,160,221
llama,gsm8k_test_183,CC,,,228,110
llama,gsm8k_test_184,CW,,second_guessed,183,244
llama,gsm8k_test_185,CC,,,77,116
llama,gsm8k_test_186,WW,"arithmetic,logic",,386,746
llama,gsm8k_test_187,CW,,changed_answer,114,198
llama,gsm8k_test_188,CW,,second_guessed,171,189
llama,gsm8k_test_189,CC,,,222,241
llama,gsm8k_test_190,CC,,,114,45
llama,gsm8k_test_191,WW,"incomplete,logic",,102,86
llama,gsm8k_test_192,CW,,changed_answer,214,271
llama,gsm8k_test_193,WW,"arithmetic,incomplete,logic",,268,238
llama,gsm8k_test_194,WW,"arithmetic,incomplete,logic",,211,183
llama,gsm8k_test_195,CC,,,146,155
llama,gsm8k_test_196,CC,,,126,201
llama,gsm8k_test_197,CC,,,98,716
llama,gsm8k_test_198,CC,,,206,260
llama,gsm8k_test_199,CC,,,134,84
mistral,gsm8k_test_0,CC,,,116,8
mistral,gsm8k_test_1,CC,,,119,12
mistral,gsm8k_test_2,WW,misunderstood,,202,13
mistral,gsm8k_test_3,CC,,,106,14
mistral,gsm8k_test_4,CC,,,168,24
mistral,gsm8k_test_5,WW,other,,163,16
mistral,gsm8k_test_6,WW,"arithmetic,logic,misunderstood",,221,18
mistral,gsm8k_test_7,WW,"logic,misunderstood",,189,8
mistral,gsm8k_test_8,WW,logic,,157,8
mistral,gsm8k_test_9,CC,,,133,7
mistral,gsm8k_test_10,CC,,,181,7
mistral,gsm8k_test_11,WW,"arithmetic,logic",,174,10
mistral,gsm8k_test_12,WW,other,,166,24
mistral,gsm8k_test_13,CC,,,147,10
mistral,gsm8k_test_14,CC,,,177,13
mistral,gsm8k_test_15,WW,"logic,misunderstood",,257,19
mistral,gsm8k_test_16,WW,arithmetic,,147,13
mistral,gsm8k_test_17,WW,other,,161,14
mistral,gsm8k_test_18,CW,,truncated,208,14
mistral,gsm8k_test_19,WW,other,,179,20
mistral,gsm8k_test_20,WW,other,,176,20
mistral,gsm8k_test_21,WW,arithmetic,,53,9
mistral,gsm8k_test_22,CC,,,106,14
mistral,gsm8k_test_23,CC,,,67,24
mistral,gsm8k_test_24,WW,other,,107,12
mistral,gsm8k_test_25,CC,,,203,9
mistral,gsm8k_test_26,WW,other,,118,12
mistral,gsm8k_test_27,CC,,,136,7
mistral,gsm8k_test_28,WW,"arithmetic,logic",,115,14
mistral,gsm8k_test_29,WW,other,,106,8
mistral,gsm8k_test_30,WW,arithmetic,,192,13
mistral,gsm8k_test_31,WW,logic,,316,9
mistral,gsm8k_test_32,CC,,,98,16
mistral,gsm8k_test_33,CC,,,151,9
mistral,gsm8k_test_34,CC,,,68,13
mistral,gsm8k_test_35,CC,,,172,10
mistral,gsm8k_test_36,CW,,truncated,134,12
mistral,gsm8k_test_37,CC,,,381,252
mistral,gsm8k_test_38,WW,"arithmetic,logic",,301,27
mistral,gsm8k_test_39,WW,arithmetic,,180,12
mistral,gsm8k_test_40,WW,arithmetic,,136,10
mistral,gsm8k_test_41,CC,,,144,25
mistral,gsm8k_test_42,CC,,,89,11
mistral,gsm8k_test_43,WW,misunderstood,,218,27
mistral,gsm8k_test_44,CC,,,194,17
mistral,gsm8k_test_45,WW,logic,,312,8
mistral,gsm8k_test_46,WW,"arithmetic,logic",,121,18
mistral,gsm8k_test_47,WW,"arithmetic,logic",,142,13
mistral,gsm8k_test_48,CW,,truncated,96,17
mistral,gsm8k_test_49,CC,,,122,16
mistral,gsm8k_test_50,CC,,,141,15
mistral,gsm8k_test_51,CC,,,98,9
mistral,gsm8k_test_52,CC,,,389,381
mistral,gsm8k_test_53,CC,,,128,15
mistral,gsm8k_test_54,WW,misunderstood,,170,39
mistral,gsm8k_test_55,CC,,,113,15
mistral,gsm8k_test_56,WW,"logic,misunderstood",,148,13
mistral,gsm8k_test_57,WW,other,,470,26
mistral,gsm8k_test_58,WW,"incomplete,logic",,207,13
mistral,gsm8k_test_59,CC,,,95,24
mistral,gsm8k_test_60,CC,,,102,9
mistral,gsm8k_test_61,CC,,,110,7
mistral,gsm8k_test_62,WW,misunderstood,,271,16
mistral,gsm8k_test_63,WW,logic,,166,7
mistral,gsm8k_test_64,WW,misunderstood,,168,15
mistral,gsm8k_test_65,WW,arithmetic,,247,15
mistral,gsm8k_test_66,CC,,,127,13
mistral,gsm8k_test_67,WW,other,,148,12
mistral,gsm8k_test_68,CC,,,104,15
mistral,gsm8k_test_69,CC,,,149,12
mistral,gsm8k_test_70,WW,arithmetic,,199,10
mistral,gsm8k_test_71,CC,,,112,7
mistral,gsm8k_test_72,CC,,,108,14
mistral,gsm8k_test_73,CW,,truncated,111,13
mistral,gsm8k_test_74,WW,"logic,hallucinated",,100,7
mistral,gsm8k_test_75,WW,"arithmetic,misunderstood",,219,19
mistral,gsm8k_test_76,WW,other,,344,17
mistral,gsm8k_test_77,CC,,,91,10
mistral,gsm8k_test_78,WW,other,,217,17
mistral,gsm8k_test_79,CC,,,81,13
mistral,gsm8k_test_80,CC,,,151,33
mistral,gsm8k_test_81,CC,,,87,10
mistral,gsm8k_test_82,CC,,,154,15
mistral,gsm8k_test_83,CC,,,84,12
mistral,gsm8k_test_84,WW,arithmetic,,163,11
mistral,gsm8k_test_85,CC,,,144,149
mistral,gsm8k_test_86,WW,logic,,201,28
mistral,gsm8k_test_87,WW,logic,,273,7
mistral,gsm8k_test_88,CC,,,99,15
mistral,gsm8k_test_89,WW,logic,,184,14
mistral,gsm8k_test_90,CC,,,123,8
mistral,gsm8k_test_91,CC,,,176,11
mistral,gsm8k_test_92,WW,"arithmetic,logic",,292,9
mistral,gsm8k_test_93,WW,other,,184,17
mistral,gsm8k_test_94,WW,"arithmetic,logic,misunderstood",,256,11
mistral,gsm8k_test_95,CC,,,165,14
mistral,gsm8k_test_96,CC,,,113,17
mistral,gsm8k_test_97,WW,other,,181,13
mistral,gsm8k_test_98,WW,logic,,151,23
mistral,gsm8k_test_99,WW,"incomplete,logic",,140,12
mistral,gsm8k_test_100,WW,"arithmetic,logic",,163,23
mistral,gsm8k_test_101,WW,other,,240,24
mistral,gsm8k_test_102,CC,,,198,14
mistral,gsm8k_test_103,CC,,,185,18
mistral,gsm8k_test_104,CC,,,136,28
mistral,gsm8k_test_105,CC,,,139,9
mistral,gsm8k_test_106,WW,other,,176,16
mistral,gsm8k_test_107,CW,,truncated,184,14
mistral,gsm8k_test_108,WW,arithmetic,,137,11
mistral,gsm8k_test_109,CC,,,96,7
mistral,gsm8k_test_110,CC,,,145,10
mistral,gsm8k_test_111,CC,,,212,8
mistral,gsm8k_test_112,WW,arithmetic,,117,17
mistral,gsm8k_test_113,CC,,,94,9
mistral,gsm8k_test_114,CC,,,106,16
mistral,gsm8k_test_115,CC,,,390,16
mistral,gsm8k_test_116,CC,,,177,11
mistral,gsm8k_test_117,CC,,,68,7
mistral,gsm8k_test_118,CC,,,139,15
mistral,gsm8k_test_119,WW,logic,,213,9
mistral,gsm8k_test_120,CC,,,107,13
mistral,gsm8k_test_121,CC,,,107,13
mistral,gsm8k_test_122,WW,"arithmetic,logic",,148,8
mistral,gsm8k_test_123,CW,,truncated,111,12
mistral,gsm8k_test_124,CC,,,103,18
mistral,gsm8k_test_125,CC,,,125,11
mistral,gsm8k_test_126,WW,other,,211,79
mistral,gsm8k_test_127,CC,,,101,23
mistral,gsm8k_test_128,WW,logic,,193,10
mistral,gsm8k_test_129,WW,arithmetic,,166,7
mistral,gsm8k_test_130,CC,,,95,24
mistral,gsm8k_test_131,CC,,,75,7
mistral,gsm8k_test_132,WW,arithmetic,,118,8
mistral,gsm8k_test_133,WW,arithmetic,,297,16
mistral,gsm8k_test_134,CC,,,108,13
mistral,gsm8k_test_135,CC,,,126,72
mistral,gsm8k_test_136,CC,,,104,11
mistral,gsm8k_test_137,CC,,,141,7
mistral,gsm8k_test_138,WW,"arithmetic,misunderstood",,274,13
mistral,gsm8k_test_139,CC,,,77,13
mistral,gsm8k_test_140,CC,,,126,11
mistral,gsm8k_test_141,CC,,,246,10
mistral,gsm8k_test_142,CC,,,124,27
mistral,gsm8k_test_143,WW,misunderstood,,146,7
mistral,gsm8k_test_144,CC,,,234,9
mistral,gsm8k_test_145,WW,other,,134,13
mistral,gsm8k_test_146,CC,,,114,11
mistral,gsm8k_test_147,WW,"arithmetic,logic",,199,24
mistral,gsm8k_test_148,WW,other,,108,16
mistral,gsm8k_test_149,CC,,,105,17
mistral,gsm8k_test_150,WW,other,,262,21
mistral,gsm8k_test_151,WW,other,,126,7
mistral,gsm8k_test_152,CC,,,89,9
mistral,gsm8k_test_153,WW,"arithmetic,logic,hallucinated",,605,611
mistral,gsm8k_test_154,WW,arithmetic,,146,13
mistral,gsm8k_test_155,CC,,,212,17
mistral,gsm8k_test_156,CW,,truncated,148,16
mistral,gsm8k_test_157,WW,other,,178,39
mistral,gsm8k_test_158,CC,,,148,7
mistral,gsm8k_test_159,WW,"logic,misunderstood",,116,121
mistral,gsm8k_test_160,CC,,,77,13
mistral,gsm8k_test_161,CC,,,138,8
mistral,gsm8k_test_162,WW,"arithmetic,misunderstood",,171,18
mistral,gsm8k_test_163,WW,"arithmetic,logic",,213,12
mistral,gsm8k_test_164,CC,,,118,9
mistral,gsm8k_test_165,WW,logic,,109,7
mistral,gsm8k_test_166,CW,,truncated,145,19
mistral,gsm8k_test_167,CC,,,123,13
mistral,gsm8k_test_168,WW,logic,,95,7
mistral,gsm8k_test_169,CC,,,105,11
mistral,gsm8k_test_170,WW,"arithmetic,logic,misunderstood",,127,12
mistral,gsm8k_test_171,WW,"arithmetic,logic",,139,14
mistral,gsm8k_test_172,WW,"arithmetic,logic",,155,14
mistral,gsm8k_test_173,CC,,,125,20
mistral,gsm8k_test_174,WW,arithmetic,,145,18
mistral,gsm8k_test_175,WW,misunderstood,,195,9
mistral,gsm8k_test_176,CC,,,81,12
mistral,gsm8k_test_177,WW,arithmetic,,224,20
mistral,gsm8k_test_178,WW,"arithmetic,logic",,336,15
mistral,gsm8k_test_179,CC,,,142,15
mistral,gsm8k_test_180,CC,,,97,11
mistral,gsm8k_test_181,CC,,,166,35
mistral,gsm8k_test_182,WW,arithmetic,,250,93
mistral,gsm8k_test_183,WW,"arithmetic,logic,misunderstood",,235,17
mistral,gsm8k_test_184,CW,,truncated,209,32
mistral,gsm8k_test_185,CC,,,92,14
mistral,gsm8k_test_186,WW,misunderstood,,228,49
mistral,gsm8k_test_187,WW,misunderstood,,227,14
mistral,gsm8k_test_188,CC,,,185,12
mistral,gsm8k_test_189,WW,logic,,208,9
mistral,gsm8k_test_190,CW,,truncated,75,11
mistral,gsm8k_test_191,CC,,,102,21
mistral,gsm8k_test_192,WW,"arithmetic,logic",,223,12
mistral,gsm8k_test_193,WW,"arithmetic,logic",,148,17
mistral,gsm8k_test_194,WW,logic,,136,26
mistral,gsm8k_test_195,CC,,,103,12
mistral,gsm8k_test_196,CC,,,118,8
mistral,gsm8k_test_197,CC,,,113,13
mistral,gsm8k_test_198,WW,"arithmetic,logic",,122,11
mistral,gsm8k_test_199,WW,arithmetic,,361,11
qwen,gsm8k_test_0,WW,"incomplete,logic",,178,14
qwen,gsm8k_test_1,CC,,,192,192
qwen,gsm8k_test_2,WW,"logic,misunderstood",,135,11
qwen,gsm8k_test_3,CC,,,177,235
qwen,gsm8k_test_4,WW,other,,193,232
qwen,gsm8k_test_5,CC,,,170,228
qwen,gsm8k_test_6,CC,,,186,19
qwen,gsm8k_test_7,WW,"incomplete,logic",,360,360
qwen,gsm8k_test_8,WW,"logic,misunderstood",,341,75
qwen,gsm8k_test_9,CC,,,200,12
qwen,gsm8k_test_10,CC,,,195,195
qwen,gsm8k_test_11,WW,"incomplete,logic",,186,12
qwen,gsm8k_test_12,WW,"incomplete,logic,misunderstood",,204,5
qwen,gsm8k_test_13,WW,"arithmetic,logic",,187,12
qwen,gsm8k_test_14,CC,,,203,8
qwen,gsm8k_test_15,CC,,,223,45
qwen,gsm8k_test_16,WW,"logic,misunderstood",,248,18
qwen,gsm8k_test_17,WW,"incomplete,logic,misunderstood",,224,224
qwen,gsm8k_test_18,CC,,,146,867
qwen,gsm8k_test_19,WW,"incomplete,logic",,247,33
qwen,gsm8k_test_20,WW,"incomplete,logic,misunderstood",,262,262
qwen,gsm8k_test_21,CC,,,144,11
qwen,gsm8k_test_22,CC,,,103,47
qwen,gsm8k_test_23,CC,,,114,21
qwen,gsm8k_test_24,CC,,,125,12
qwen,gsm8k_test_25,WW,"incomplete,logic,misunderstood",,188,639
qwen,gsm8k_test_26,CC,,,163,16
qwen,gsm8k_test_27,CC,,,221,14
qwen,gsm8k_test_28,CC,,,102,16
qwen,gsm8k_test_29,CC,,,113,735
qwen,gsm8k_test_30,WW,logic,,180,5
qwen,gsm8k_test_31,WW,"incomplete,logic",,178,16
qwen,gsm8k_test_32,CC,,,143,764
qwen,gsm8k_test_33,CC,,,227,9
qwen,gsm8k_test_34,CC,,,160,10
qwen,gsm8k_test_35,CC,,,163,11
qwen,gsm8k_test_36,CW,,truncated,147,12
qwen,gsm8k_test_37,WW,"arithmetic,logic,misunderstood",,219,258
qwen,gsm8k_test_38,CC,,,236,236
qwen,gsm8k_test_39,CC,,,276,19
qwen,gsm8k_test_40,CC,,,123,19
qwen,gsm8k_test_41,CC,,,501,507
qwen,gsm8k_test_42,WW,"incomplete,misunderstood",,189,189
qwen,gsm8k_test_43,CC,,,139,11
qwen,gsm8k_test_44,CC,,,235,9
qwen,gsm8k_test_45,CC,,,266,19
qwen,gsm8k_test_46,WW,"incomplete,logic",,188,188
qwen,gsm8k_test_47,CW,,truncated,269,21
qwen,gsm8k_test_48,CC,,,148,10
qwen,gsm8k_test_49,CC,,,152,17
qwen,gsm8k_test_50,CC,,,118,13
qwen,gsm8k_test_51,CC,,,241,299
qwen,gsm8k_test_52,CC,,,203,73
qwen,gsm8k_test_53,WW,"logic,misunderstood",,199,581
qwen,gsm8k_test_54,CC,,,127,11
qwen,gsm8k_test_55,CC,,,161,638
qwen,gsm8k_test_56,CC,,,197,22
qwen,gsm8k_test_57,CW,,truncated,218,35
qwen,gsm8k_test_58,CC,,,132,22
qwen,gsm8k_test_59,CC,,,147,147
qwen,gsm8k_test_60,CC,,,174,14
qwen,gsm8k_test_61,CC,,,77,15
qwen,gsm8k_test_62,WW,"incomplete,logic,misunderstood",,248,248
qwen,gsm8k_test_63,WW,"incomplete,logic,misunderstood",,221,279
qwen,gsm8k_test_64,CC,,,165,659
qwen,gsm8k_test_65,CC,,,231,20
qwen,gsm8k_test_66,CW,,truncated,196,5
qwen,gsm8k_test_67,WW,"incomplete,logic,misunderstood",,198,14
qwen,gsm8k_test_68,CC,,,193,12
qwen,gsm8k_test_69,CC,,,180,8
qwen,gsm8k_test_70,CC,,,252,12
qwen,gsm8k_test_71,CC,,,177,212
qwen,gsm8k_test_72,WW,"logic,misunderstood",,215,20
qwen,gsm8k_test_73,CC,,,215,14
qwen,gsm8k_test_74,CC,,,140,10
qwen,gsm8k_test_75,CC,,,180,806
qwen,gsm8k_test_76,WW,"incomplete,logic,misunderstood",,272,18
qwen,gsm8k_test_77,CC,,,151,18
qwen,gsm8k_test_78,WW,"incomplete,logic",,211,246
qwen,gsm8k_test_79,CC,,,113,15
qwen,gsm8k_test_80,CC,,,173,762
qwen,gsm8k_test_81,WW,"logic,misunderstood",,699,699
qwen,gsm8k_test_82,CC,,,137,14
qwen,gsm8k_test_83,CC,,,101,13
qwen,gsm8k_test_84,CC,,,166,9
qwen,gsm8k_test_85,CC,,,182,182
qwen,gsm8k_test_86,CC,,,186,17
qwen,gsm8k_test_87,WW,"incomplete,logic",,207,15
qwen,gsm8k_test_88,CW,,truncated,160,35
qwen,gsm8k_test_89,WW,"arithmetic,logic",,201,201
qwen,gsm8k_test_90,CC,,,195,19
qwen,gsm8k_test_91,CC,,,138,17
qwen,gsm8k_test_92,CC,,,265,9
qwen,gsm8k_test_93,WW,"incomplete,logic,misunderstood",,197,17
qwen,gsm8k_test_94,CC,,,159,16
qwen,gsm8k_test_95,WW,"incomplete,logic",,519,5
qwen,gsm8k_test_96,CC,,,140,11
qwen,gsm8k_test_97,CC,,,222,222
qwen,gsm8k_test_98,CC,,,291,712
qwen,gsm8k_test_99,WW,"arithmetic,logic",,162,13
qwen,gsm8k_test_100,WW,"arithmetic,logic",,679,679
qwen,gsm8k_test_101,CW,,truncated,201,5
qwen,gsm8k_test_102,CC,,,248,15
qwen,gsm8k_test_103,CC,,,236,22
qwen,gsm8k_test_104,CC,,,245,15
qwen,gsm8k_test_105,CC,,,111,8
qwen,gsm8k_test_106,CC,,,188,20
qwen,gsm8k_test_107,WW,logic,,259,14
qwen,gsm8k_test_108,WW,"arithmetic,logic",,537,647
qwen,gsm8k_test_109,CC,,,116,15
qwen,gsm8k_test_110,CC,,,150,14
qwen,gsm8k_test_111,WW,"logic,misunderstood",,278,25
qwen,gsm8k_test_112,CC,,,145,13
qwen,gsm8k_test_113,CC,,,154,15
qwen,gsm8k_test_114,CC,,,236,236
qwen,gsm8k_test_115,WW,"logic,misunderstood",,267,596
qwen,gsm8k_test_116,CC,,,181,220
qwen,gsm8k_test_117,CW,,truncated,140,5
qwen,gsm8k_test_118,CC,,,193,251
qwen,gsm8k_test_119,WW,"incomplete,logic,misunderstood",,190,18
qwen,gsm8k_test_120,CC,,,136,12
qwen,gsm8k_test_121,CC,,,164,17
qwen,gsm8k_test_122,CC,,,194,14
qwen,gsm8k_test_123,CC,,,185,14
qwen,gsm8k_test_124,CC,,,240,18
qwen,gsm8k_test_125,CC,,,172,172
qwen,gsm8k_test_126,CC,,,140,198
qwen,gsm8k_test_127,CC,,,144,16
qwen,gsm8k_test_128,CC,,,177,15
qwen,gsm8k_test_129,CC,,,302,302
qwen,gsm8k_test_130,CC,,,190,14
qwen,gsm8k_test_131,CC,,,126,13
qwen,gsm8k_test_132,CC,,,172,15
qwen,gsm8k_test_133,CC,,,192,10
qwen,gsm8k_test_134,CW,,truncated,138,5
qwen,gsm8k_test_135,CC,,,167,9
qwen,gsm8k_test_136,CC,,,166,166
qwen,gsm8k_test_137,CC,,,174,16
qwen,gsm8k_test_138,CC,,,210,11
qwen,gsm8k_test_139,CW,,truncated,149,35
qwen,gsm8k_test_140,CC,,,159,11
qwen,gsm8k_test_141,CC,,,157,14
qwen,gsm8k_test_142,CC,,,212,21
qwen,gsm8k_test_143,WW,"arithmetic,logic",,172,23
qwen,gsm8k_test_144,CC,,,163,15
qwen,gsm8k_test_145,CC,,,231,18
qwen,gsm8k_test_146,CC,,,130,15
