model,dataset,strategy,task_type,response_length,num_reasoning_steps,has_hedging,y0_correct,label,confidence
llama,gsm8k,s1,math,135,0,False,True,-1,
llama,gsm8k,s1,math,208,25,False,True,-1,
llama,gsm8k,s1,math,138,10,False,True,0,
llama,gsm8k,s1,math,96,8,False,True,0,
llama,gsm8k,s1,math,83,6,False,True,-1,
llama,gsm8k,s1,math,84,2,False,True,0,
llama,gsm8k,s1,math,173,4,False,True,0,
llama,gsm8k,s1,math,259,12,False,False,0,
llama,gsm8k,s1,math,115,4,False,True,0,
llama,gsm8k,s1,math,154,10,False,True,0,
llama,gsm8k,s1,math,104,6,False,True,0,
llama,gsm8k,s1,math,325,14,False,False,0,
llama,gsm8k,s1,math,219,14,False,True,0,
llama,gsm8k,s1,math,184,3,False,True,-1,
llama,gsm8k,s1,math,145,9,False,True,-1,
llama,gsm8k,s1,math,170,10,False,True,0,
llama,gsm8k,s1,math,95,9,False,True,0,
llama,gsm8k,s1,math,100,10,False,True,0,
llama,gsm8k,s1,math,161,5,False,True,0,
llama,gsm8k,s1,math,218,7,False,True,-1,
llama,gsm8k,s1,math,87,5,False,True,0,
llama,gsm8k,s1,math,181,13,False,True,0,
llama,gsm8k,s1,math,174,10,False,False,0,
llama,gsm8k,s1,math,322,15,False,True,-1,
llama,gsm8k,s1,math,155,13,False,False,0,
llama,gsm8k,s1,math,149,6,False,True,-1,
llama,gsm8k,s1,math,120,7,False,True,0,
llama,gsm8k,s1,math,219,14,False,True,-1,
llama,gsm8k,s1,math,91,11,False,True,0,
llama,gsm8k,s1,math,121,10,False,True,0,
llama,gsm8k,s1,math,152,12,False,True,0,
llama,gsm8k,s1,math,66,9,False,True,-1,
llama,gsm8k,s1,math,97,6,False,True,0,
llama,gsm8k,s1,math,135,11,False,True,0,
llama,gsm8k,s1,math,118,4,False,True,0,
llama,gsm8k,s1,math,129,7,False,True,-1,
llama,gsm8k,s1,math,167,24,False,False,0,
llama,gsm8k,s1,math,102,7,False,True,0,
llama,gsm8k,s1,math,196,11,False,False,0,
llama,gsm8k,s1,math,130,9,False,True,0,
llama,gsm8k,s1,math,117,8,False,True,0,
llama,gsm8k,s1,math,91,12,False,True,-1,
llama,gsm8k,s1,math,92,7,False,True,-1,
llama,gsm8k,s1,math,161,14,False,True,0,
llama,gsm8k,s1,math,88,13,False,True,-1,
llama,gsm8k,s1,math,70,6,False,True,0,
llama,gsm8k,s1,math,257,6,False,False,1,
llama,gsm8k,s1,math,160,12,False,True,-1,
llama,gsm8k,s1,math,168,8,False,True,-1,
llama,gsm8k,s1,math,171,19,False,True,-1,
llama,gsm8k,s1,math,170,8,False,True,-1,
llama,gsm8k,s1,math,185,3,False,True,-1,
llama,gsm8k,s1,math,157,5,False,True,-1,
llama,gsm8k,s1,math,194,12,False,True,-1,
llama,gsm8k,s1,math,72,6,False,True,0,
llama,gsm8k,s1,math,163,11,False,True,-1,
llama,gsm8k,s1,math,263,21,False,True,0,
llama,gsm8k,s1,math,166,10,False,True,-1,
llama,gsm8k,s1,math,142,3,False,True,0,
llama,gsm8k,s1,math,228,8,False,True,0,
llama,gsm8k,s1,math,250,3,False,True,-1,
llama,gsm8k,s1,math,133,2,False,True,0,
llama,gsm8k,s1,math,113,2,False,True,0,
llama,gsm8k,s1,math,145,11,False,True,-1,
llama,gsm8k,s1,math,195,21,False,True,0,
llama,gsm8k,s1,math,101,9,False,True,0,
llama,gsm8k,s1,math,103,4,False,True,0,
llama,gsm8k,s1,math,153,7,False,True,0,
llama,gsm8k,s1,math,311,19,False,False,0,
llama,gsm8k,s1,math,133,3,False,True,0,
llama,gsm8k,s1,math,108,5,False,True,0,
llama,gsm8k,s1,math,154,7,False,True,-1,
llama,gsm8k,s1,math,198,4,False,True,0,
llama,gsm8k,s1,math,160,11,False,True,-1,
llama,gsm8k,s1,math,221,13,False,False,0,
llama,gsm8k,s1,math,118,5,False,True,0,
llama,gsm8k,s1,math,70,6,False,True,0,
llama,gsm8k,s1,math,205,19,False,True,0,
llama,gsm8k,s1,math,174,12,False,True,-1,
llama,gsm8k,s1,math,125,9,False,True,-1,
llama,gsm8k,s1,math,82,5,False,True,0,
llama,gsm8k,s1,math,138,6,False,True,0,
llama,gsm8k,s1,math,104,10,False,True,0,
llama,gsm8k,s1,math,140,4,False,True,0,
llama,gsm8k,s1,math,107,6,False,True,0,
llama,gsm8k,s1,math,98,6,False,True,-1,
llama,gsm8k,s1,math,122,13,False,True,0,
llama,gsm8k,s1,math,286,5,False,True,0,
llama,gsm8k,s1,math,117,9,False,True,-1,
llama,gsm8k,s1,math,95,7,False,True,-1,
llama,gsm8k,s1,math,229,10,False,True,0,
llama,gsm8k,s1,math,152,4,False,True,-1,
llama,gsm8k,s1,math,140,13,False,False,0,
llama,gsm8k,s1,math,225,15,False,True,-1,
llama,gsm8k,s1,math,138,3,False,True,-1,
llama,gsm8k,s1,math,96,11,False,True,0,
llama,gsm8k,s1,math,204,14,False,True,-1,
llama,gsm8k,s1,math,108,5,False,True,-1,
llama,gsm8k,s1,math,158,7,False,True,-1,
llama,gsm8k,s1,math,202,0,False,True,0,
llama,gsm8k,s1,math,242,7,False,True,0,
llama,gsm8k,s1,math,109,14,False,True,0,
llama,gsm8k,s1,math,702,30,False,False,0,
llama,gsm8k,s1,math,247,16,False,True,-1,
llama,gsm8k,s1,math,200,14,False,True,0,
llama,gsm8k,s1,math,178,2,False,True,0,
llama,gsm8k,s1,math,185,14,False,False,0,
llama,gsm8k,s1,math,106,8,False,True,0,
llama,gsm8k,s1,math,77,3,False,True,0,
llama,gsm8k,s1,math,111,12,False,True,0,
llama,gsm8k,s1,math,147,16,False,True,0,
llama,gsm8k,s1,math,403,90,False,False,0,
llama,gsm8k,s1,math,146,12,False,True,-1,
llama,gsm8k,s1,math,114,6,False,True,-1,
llama,gsm8k,s1,math,127,9,False,False,0,
llama,gsm8k,s1,math,168,4,False,True,0,
llama,gsm8k,s1,math,184,8,False,True,-1,
llama,gsm8k,s1,math,62,7,False,True,0,
llama,gsm8k,s1,math,131,0,False,True,-1,
llama,gsm8k,s1,math,175,9,False,True,-1,
llama,gsm8k,s1,math,148,12,False,True,0,
llama,gsm8k,s1,math,151,14,False,True,0,
llama,gsm8k,s1,math,141,17,False,True,-1,
llama,gsm8k,s1,math,137,2,False,True,0,
llama,gsm8k,s1,math,323,11,False,False,0,
llama,gsm8k,s1,math,114,4,False,True,0,
llama,gsm8k,s1,math,165,28,False,True,-1,
llama,gsm8k,s1,math,121,7,False,True,0,
llama,gsm8k,s1,math,140,6,False,True,0,
llama,gsm8k,s1,math,111,4,False,True,0,
llama,gsm8k,s1,math,158,6,False,True,0,
llama,gsm8k,s1,math,160,12,False,True,-1,
llama,gsm8k,s1,math,228,14,False,True,0,
llama,gsm8k,s1,math,183,18,False,True,-1,
llama,gsm8k,s1,math,77,6,False,True,0,
llama,gsm8k,s1,math,386,18,True,False,0,
llama,gsm8k,s1,math,114,6,False,True,-1,
llama,gsm8k,s1,math,171,8,False,True,-1,
llama,gsm8k,s1,math,222,11,False,True,0,
llama,gsm8k,s1,math,114,2,False,True,0,
llama,gsm8k,s1,math,102,4,False,False,0,
llama,gsm8k,s1,math,214,12,False,True,-1,
llama,gsm8k,s1,math,268,7,False,False,0,
llama,gsm8k,s1,math,211,8,False,False,0,
llama,gsm8k,s1,math,146,5,False,True,0,
llama,gsm8k,s1,math,126,4,False,True,0,
llama,gsm8k,s1,math,98,6,False,True,0,
llama,gsm8k,s1,math,206,15,False,True,0,
llama,gsm8k,s1,math,134,10,False,True,0,
llama,gsm8k,s1,math,112,5,False,True,0,
llama,gsm8k,s1,math,163,11,False,True,-1,
llama,gsm8k,s1,math,127,4,False,True,0,
llama,gsm8k,s1,math,159,11,False,True,-1,
llama,gsm8k,s1,math,133,9,False,True,0,
llama,gsm8k,s1,math,257,19,False,False,0,
llama,gsm8k,s1,math,172,8,False,True,0,
llama,gsm8k,s1,math,166,4,False,True,0,
llama,gsm8k,s1,math,121,10,False,True,0,
llama,gsm8k,s1,math,195,13,False,True,-1,
llama,gsm8k,s1,math,212,17,False,True,-1,
llama,gsm8k,s1,math,129,2,False,True,-1,
llama,gsm8k,s1,math,103,4,False,True,0,
llama,gsm8k,s1,math,273,13,False,True,-1,
llama,gsm8k,s1,math,427,2,False,True,-1,
llama,gsm8k,s1,math,101,4,False,True,0,
llama,gsm8k,s1,math,144,11,False,True,-1,
llama,gsm8k,s1,math,85,4,False,True,0,
llama,gsm8k,s1,math,168,20,False,True,0,
llama,gsm8k,s1,math,196,14,False,True,-1,
llama,gsm8k,s1,math,129,2,False,True,0,
llama,gsm8k,s1,math,132,7,False,True,0,
llama,gsm8k,s1,math,96,1,False,True,0,
llama,gsm8k,s1,math,102,7,False,True,0,
llama,gsm8k,s1,math,137,6,False,True,0,
llama,gsm8k,s1,math,116,5,False,True,-1,
llama,gsm8k,s1,math,163,10,False,False,0,
llama,gsm8k,s1,math,161,22,False,True,0,
llama,gsm8k,s1,math,198,9,False,True,0,
llama,gsm8k,s1,math,121,14,False,True,0,
llama,gsm8k,s1,math,120,14,False,True,-1,
llama,gsm8k,s1,math,82,7,False,True,-1,
llama,gsm8k,s1,math,125,7,False,True,0,
llama,gsm8k,s1,math,163,6,False,True,0,
llama,gsm8k,s1,math,245,9,False,True,-1,
llama,gsm8k,s1,math,139,4,False,True,0,
llama,gsm8k,s1,math,143,0,False,False,0,
llama,gsm8k,s1,math,82,5,False,True,0,
llama,gsm8k,s1,math,109,8,False,True,0,
llama,gsm8k,s1,math,198,17,False,True,0,
llama,gsm8k,s1,math,173,7,False,True,-1,
llama,gsm8k,s1,math,124,9,False,True,-1,
llama,gsm8k,s1,math,222,12,False,False,0,
llama,gsm8k,s1,math,124,9,False,True,0,
llama,gsm8k,s1,math,149,19,False,False,0,
llama,gsm8k,s1,math,137,10,False,True,-1,
llama,gsm8k,s1,math,170,8,False,True,-1,
llama,gsm8k,s1,math,100,7,False,True,0,
llama,gsm8k,s1,math,92,4,False,True,0,
llama,gsm8k,s1,math,215,13,False,True,-1,
llama,gsm8k,s1,math,254,20,False,True,-1,
llama,gsm8k,s1,math,81,3,False,True,0,
llama,gsm8k,s1,math,160,9,False,True,-1,
llama,gsm8k,s1,math,57,4,False,True,0,
llama,gsm8k,s1,math,87,6,False,True,0,
llama,gsm8k,s1,math,150,11,False,False,0,
llama,gsm8k,s1,math,121,14,False,True,-1,
llama,gsm8k,s1,math,251,12,False,True,0,
llama,gsm8k,s1,math,105,4,False,True,-1,
llama,gsm8k,s1,math,222,18,False,True,-1,
llama,gsm8k,s1,math,206,1,False,True,0,
llama,gsm8k,s1,math,113,7,False,True,-1,
llama,gsm8k,s1,math,87,4,False,True,0,
llama,gsm8k,s1,math,130,10,False,True,0,
llama,gsm8k,s1,math,92,10,False,False,1,
llama,gsm8k,s1,math,147,9,False,True,0,
llama,gsm8k,s1,math,158,9,False,True,0,
llama,gsm8k,s1,math,176,11,False,False,0,
llama,gsm8k,s1,math,99,12,False,True,0,
llama,gsm8k,s1,math,118,4,False,True,-1,
llama,gsm8k,s1,math,136,11,False,True,0,
llama,gsm8k,s1,math,175,13,False,True,-1,
llama,gsm8k,s1,math,81,8,False,False,0,
llama,gsm8k,s1,math,181,15,False,False,0,
llama,gsm8k,s1,math,181,6,False,True,0,
llama,gsm8k,s1,math,192,13,False,True,-1,
llama,gsm8k,s1,math,273,34,False,True,0,
llama,gsm8k,s1,math,163,3,False,True,0,
llama,gsm8k,s1,math,120,12,False,True,0,
llama,gsm8k,s1,math,141,9,False,True,0,
llama,gsm8k,s1,math,72,8,False,True,0,
llama,gsm8k,s1,math,195,10,False,True,0,
llama,gsm8k,s1,math,124,9,False,True,0,
llama,gsm8k,s1,math,228,7,False,True,0,
llama,gsm8k,s1,math,165,14,False,True,0,
llama,gsm8k,s1,math,68,5,False,True,0,
llama,gsm8k,s1,math,140,6,False,True,0,
llama,gsm8k,s1,math,212,29,False,True,-1,
llama,gsm8k,s1,math,125,4,False,True,-1,
llama,gsm8k,s1,math,143,7,False,True,0,
llama,gsm8k,s1,math,124,13,False,True,-1,
llama,gsm8k,s1,math,171,8,False,True,-1,
llama,gsm8k,s1,math,166,8,False,True,0,
llama,gsm8k,s1,math,177,15,False,False,0,
llama,gsm8k,s1,math,108,9,False,True,0,
llama,gsm8k,s1,math,126,22,False,True,0,
llama,gsm8k,s1,math,206,4,False,False,0,
llama,gsm8k,s1,math,147,10,False,True,-1,
llama,gsm8k,s1,math,182,4,False,True,-1,
llama,gsm8k,s1,math,230,14,False,True,-1,
llama,gsm8k,s1,math,92,7,False,True,-1,
llama,gsm8k,s1,math,343,11,False,False,0,
llama,gsm8k,s1,math,95,11,False,True,0,
llama,gsm8k,s1,math,428,29,False,False,1,
llama,gsm8k,s1,math,203,12,False,True,-1,
llama,gsm8k,s1,math,101,7,False,True,0,
llama,gsm8k,s1,math,190,12,False,False,0,
llama,gsm8k,s1,math,160,0,False,False,1,
llama,gsm8k,s1,math,153,11,False,True,0,
llama,gsm8k,s1,math,220,11,False,True,-1,
llama,gsm8k,s1,math,246,17,False,True,-1,
llama,gsm8k,s1,math,235,14,False,True,-1,
llama,gsm8k,s1,math,96,5,False,True,0,
llama,gsm8k,s1,math,149,15,False,True,-1,
llama,gsm8k,s1,math,190,15,False,True,0,
llama,gsm8k,s1,math,180,11,False,True,-1,
llama,gsm8k,s1,math,184,17,False,True,0,
llama,gsm8k,s1,math,135,6,False,True,0,
llama,gsm8k,s1,math,146,10,False,True,-1,
llama,gsm8k,s1,math,151,2,False,True,-1,
llama,gsm8k,s1,math,310,22,False,False,0,
llama,gsm8k,s1,math,118,4,False,True,0,
llama,gsm8k,s1,math,302,13,False,True,-1,
llama,gsm8k,s1,math,172,9,False,True,-1,
llama,gsm8k,s1,math,221,6,False,False,1,
llama,gsm8k,s1,math,198,22,False,False,0,
llama,gsm8k,s1,math,177,16,False,True,-1,
llama,gsm8k,s1,math,107,17,False,True,-1,
llama,gsm8k,s1,math,137,4,False,True,-1,
llama,gsm8k,s1,math,43,7,False,True,0,
llama,gsm8k,s1,math,147,9,False,True,-1,
llama,gsm8k,s1,math,214,24,False,True,-1,
llama,gsm8k,s1,math,121,4,False,True,0,
llama,gsm8k,s1,math,105,14,False,True,0,
llama,gsm8k,s1,math,127,8,False,True,0,
llama,gsm8k,s1,math,125,3,False,True,0,
llama,gsm8k,s1,math,137,10,False,True,0,
llama,gsm8k,s1,math,152,10,False,True,0,
llama,gsm8k,s1,math,155,3,False,True,0,
llama,gsm8k,s1,math,210,16,False,True,0,
llama,gsm8k,s1,math,143,8,False,False,0,
llama,gsm8k,s1,math,165,15,False,True,0,
llama,gsm8k,s1,math,116,10,False,True,0,
llama,gsm8k,s1,math,106,6,False,True,0,
llama,gsm8k,s1,math,163,7,False,True,0,
llama,gsm8k,s1,math,149,8,False,True,0,
llama,gsm8k,s1,math,182,12,False,True,-1,
llama,gsm8k,s1,math,118,6,False,True,-1,
llama,gsm8k,s1,math,141,16,False,True,-1,
llama,gsm8k,s1,math,184,7,False,True,0,
llama,gsm8k,s1,math,255,11,False,False,1,
llama,gsm8k,s1,math,122,7,False,True,0,
llama,gsm8k,s1,math,90,9,False,True,-1,
llama,gsm8k,s1,math,179,12,False,False,1,
llama,gsm8k,s1,math,185,11,False,True,0,
llama,gsm8k,s1,math,141,7,False,True,0,
llama,gsm8k,s1,math,193,14,False,True,0,
llama,gsm8k,s1,math,819,20,False,False,0,
llama,gsm8k,s1,math,126,7,False,True,-1,
llama,gsm8k,s1,math,235,20,False,True,-1,
llama,gsm8k,s1,math,123,12,False,True,-1,
llama,gsm8k,s1,math,178,15,False,True,-1,
llama,gsm8k,s1,math,103,7,False,True,-1,
llama,gsm8k,s1,math,185,5,False,True,0,
llama,gsm8k,s1,math,128,9,False,False,1,
llama,gsm8k,s1,math,110,4,False,True,0,
llama,gsm8k,s1,math,110,6,False,True,0,
llama,gsm8k,s1,math,217,10,False,False,0,
llama,gsm8k,s1,math,114,9,False,False,1,
llama,gsm8k,s1,math,334,18,False,False,1,
llama,gsm8k,s1,math,79,3,False,True,-1,
llama,gsm8k,s1,math,188,19,False,True,-1,
llama,gsm8k,s1,math,82,5,False,True,0,
llama,gsm8k,s1,math,144,6,False,True,0,
llama,gsm8k,s1,math,127,6,False,True,0,
llama,gsm8k,s1,math,92,5,False,True,0,
llama,gsm8k,s1,math,140,13,False,True,-1,
llama,gsm8k,s1,math,141,6,False,True,-1,
llama,gsm8k,s1,math,124,3,False,True,0,
llama,gsm8k,s1,math,77,2,False,True,0,
llama,gsm8k,s1,math,140,12,False,False,0,
llama,gsm8k,s1,math,128,0,False,True,0,
llama,gsm8k,s1,math,170,13,False,True,0,
llama,gsm8k,s1,math,186,13,False,True,-1,
llama,gsm8k,s1,math,113,8,False,True,-1,
llama,gsm8k,s1,math,160,11,False,True,-1,
llama,gsm8k,s1,math,111,13,False,True,0,
llama,gsm8k,s1,math,70,4,False,True,0,
llama,gsm8k,s1,math,143,8,False,True,-1,
llama,gsm8k,s1,math,164,10,False,True,-1,
llama,gsm8k,s1,math,113,3,False,True,0,
llama,gsm8k,s1,math,153,8,False,True,0,
llama,gsm8k,s1,math,159,16,False,True,0,
llama,gsm8k,s1,math,136,10,False,True,0,
llama,gsm8k,s1,math,133,4,False,True,-1,
llama,gsm8k,s1,math,147,12,False,True,-1,
llama,gsm8k,s1,math,199,26,False,False,1,
llama,gsm8k,s1,math,91,4,False,False,1,
llama,gsm8k,s1,math,133,12,False,True,0,
llama,gsm8k,s1,math,128,7,False,True,0,
llama,gsm8k,s1,math,85,2,False,True,0,
llama,gsm8k,s1,math,165,6,False,True,-1,
llama,gsm8k,s1,math,172,6,False,True,0,
llama,gsm8k,s1,math,264,4,False,False,0,
llama,gsm8k,s1,math,146,18,False,True,-1,
llama,gsm8k,s1,math,242,7,False,False,0,
llama,gsm8k,s1,math,183,15,False,True,0,
llama,gsm8k,s1,math,104,10,False,False,0,
llama,gsm8k,s1,math,249,8,False,True,0,
llama,gsm8k,s1,math,266,19,False,True,-1,
llama,gsm8k,s1,math,208,22,False,True,-1,
llama,gsm8k,s1,math,181,16,False,True,-1,
llama,gsm8k,s1,math,167,4,False,True,-1,
llama,gsm8k,s1,math,206,8,False,False,1,
llama,gsm8k,s1,math,155,9,False,True,0,
llama,gsm8k,s1,math,194,24,False,True,-1,
llama,gsm8k,s1,math,157,2,False,True,-1,
llama,gsm8k,s1,math,263,7,False,True,0,
llama,gsm8k,s1,math,105,7,False,True,0,
llama,gsm8k,s1,math,113,2,False,False,1,
llama,gsm8k,s1,math,113,7,False,False,0,
llama,gsm8k,s1,math,134,13,False,True,-1,
llama,gsm8k,s1,math,135,15,False,True,0,
llama,gsm8k,s1,math,226,18,False,False,0,
llama,gsm8k,s1,math,77,6,False,True,0,
llama,gsm8k,s1,math,145,8,False,False,1,
llama,gsm8k,s1,math,123,10,False,True,-1,
llama,gsm8k,s1,math,271,25,False,False,0,
llama,gsm8k,s1,math,230,19,False,False,0,
llama,gsm8k,s1,math,120,9,False,True,0,
llama,gsm8k,s1,math,131,11,False,True,-1,
llama,gsm8k,s1,math,142,11,False,True,0,
llama,gsm8k,s1,math,155,12,False,True,0,
llama,gsm8k,s1,math,124,12,False,True,0,
llama,gsm8k,s1,math,197,13,False,True,-1,
llama,gsm8k,s1,math,91,2,False,True,0,
llama,gsm8k,s1,math,136,11,False,True,0,
llama,gsm8k,s1,math,175,6,False,False,0,
llama,gsm8k,s1,math,201,15,False,True,-1,
llama,gsm8k,s1,math,147,4,False,False,0,
llama,gsm8k,s1,math,137,4,False,True,0,
llama,gsm8k,s1,math,215,4,False,True,0,
llama,gsm8k,s1,math,195,7,False,True,-1,
llama,gsm8k,s1,math,219,26,False,False,0,
llama,gsm8k,s1,math,104,5,False,True,0,
llama,gsm8k,s1,math,282,11,False,True,0,
llama,gsm8k,s1,math,148,7,False,True,-1,
llama,gsm8k,s1,math,112,8,False,True,0,
llama,gsm8k,s1,math,286,12,False,True,0,
llama,gsm8k,s1,math,109,3,False,True,0,
llama,gsm8k,s1,math,145,13,False,False,0,
llama,gsm8k,s1,math,161,6,False,True,0,
llama,gsm8k,s1,math,172,5,False,True,-1,
llama,gsm8k,s1,math,148,15,False,True,0,
llama,gsm8k,s1,math,81,4,False,False,0,
llama,gsm8k,s1,math,178,9,False,True,-1,
llama,gsm8k,s1,math,158,11,False,True,-1,
llama,gsm8k,s1,math,77,8,False,True,-1,
llama,gsm8k,s1,math,139,11,False,True,0,
llama,gsm8k,s1,math,216,10,False,True,0,
llama,gsm8k,s1,math,176,3,False,True,0,
llama,gsm8k,s1,math,70,8,False,True,-1,
llama,gsm8k,s1,math,70,2,False,True,0,
llama,gsm8k,s1,math,95,6,False,True,0,
llama,gsm8k,s1,math,103,13,False,True,-1,
llama,gsm8k,s1,math,203,12,False,True,0,
llama,gsm8k,s1,math,203,19,False,True,0,
llama,gsm8k,s1,math,164,17,False,True,0,
llama,gsm8k,s1,math,197,18,False,True,0,
llama,gsm8k,s1,math,136,2,False,True,-1,
llama,gsm8k,s1,math,150,8,False,True,0,
llama,gsm8k,s1,math,166,10,False,True,-1,
llama,gsm8k,s1,math,147,14,False,True,-1,
llama,gsm8k,s1,math,158,7,False,True,0,
llama,gsm8k,s1,math,169,19,False,True,0,
llama,gsm8k,s1,math,148,3,False,False,0,
llama,gsm8k,s1,math,129,4,False,True,0,
llama,gsm8k,s1,math,219,7,False,True,-1,
llama,gsm8k,s1,math,146,6,False,True,0,
llama,gsm8k,s1,math,167,11,False,False,0,
llama,gsm8k,s1,math,148,11,False,True,-1,
llama,gsm8k,s1,math,154,11,False,True,0,
llama,gsm8k,s1,math,81,4,False,True,0,
llama,gsm8k,s1,math,205,12,False,True,-1,
llama,gsm8k,s1,math,106,8,False,True,0,
llama,gsm8k,s1,math,96,8,False,True,-1,
llama,gsm8k,s1,math,120,4,False,True,-1,
llama,gsm8k,s1,math,197,4,False,True,-1,
llama,gsm8k,s1,math,56,8,False,True,0,
llama,gsm8k,s1,math,62,7,False,True,0,
llama,gsm8k,s1,math,122,6,False,True,0,
llama,gsm8k,s1,math,124,4,False,True,0,
llama,gsm8k,s1,math,113,7,False,True,0,
llama,gsm8k,s1,math,202,18,False,False,0,
llama,gsm8k,s1,math,204,8,False,False,0,
llama,gsm8k,s1,math,114,6,False,True,-1,
llama,gsm8k,s1,math,126,14,False,True,-1,
llama,gsm8k,s1,math,175,13,False,True,0,
llama,gsm8k,s1,math,130,11,False,True,-1,
llama,gsm8k,s1,math,154,8,False,True,0,
llama,gsm8k,s1,math,353,27,False,True,-1,
llama,gsm8k,s1,math,139,16,False,True,0,
llama,gsm8k,s1,math,94,4,False,True,-1,
llama,gsm8k,s1,math,140,7,False,True,0,
llama,gsm8k,s1,math,264,18,False,True,-1,
llama,gsm8k,s1,math,235,8,False,True,-1,
llama,gsm8k,s1,math,198,4,False,True,-1,
llama,gsm8k,s1,math,145,7,False,True,-1,
llama,gsm8k,s1,math,121,10,False,True,0,
llama,gsm8k,s1,math,171,8,False,True,-1,
llama,gsm8k,s1,math,156,0,False,False,0,
llama,gsm8k,s1,math,111,5,False,True,0,
llama,gsm8k,s1,math,124,2,False,True,0,
llama,gsm8k,s1,math,81,12,False,True,0,
llama,gsm8k,s1,math,113,8,False,True,0,
llama,gsm8k,s1,math,120,10,False,True,0,
llama,gsm8k,s1,math,114,2,False,True,0,
llama,gsm8k,s1,math,121,5,False,True,-1,
llama,gsm8k,s1,math,152,24,False,True,0,
llama,gsm8k,s1,math,80,4,False,True,0,
llama,gsm8k,s1,math,163,15,False,False,1,
llama,gsm8k,s1,math,181,16,False,True,0,
llama,gsm8k,s1,math,178,14,False,True,0,
llama,gsm8k,s1,math,157,7,False,False,0,
llama,gsm8k,s1,math,134,6,False,True,-1,
llama,gsm8k,s1,math,144,7,False,True,0,
llama,gsm8k,s1,math,188,15,False,True,0,
llama,gsm8k,s1,math,304,25,False,True,-1,
llama,gsm8k,s1,math,211,19,False,True,-1,
llama,gsm8k,s1,math,214,11,False,True,-1,
llama,gsm8k,s1,math,197,4,False,False,1,
llama,gsm8k,s1,math,193,16,False,False,0,
llama,gsm8k,s1,math,157,15,False,True,-1,
llama,gsm8k,s1,math,91,13,False,True,0,
llama,gsm8k,s1,math,222,17,False,True,-1,
llama,gsm8k,s1,math,126,10,False,True,-1,
llama,gsm8k,s1,math,93,5,False,True,0,
llama,gsm8k,s1,math,140,4,False,True,0,
llama,gsm8k,s1,math,113,2,False,True,-1,
llama,gsm8k,s1,math,102,5,False,False,0,
llama,gsm8k,s1,math,143,15,False,True,0,
llama,gsm8k,s1,math,264,12,False,True,0,
llama,gsm8k,s1,math,123,11,False,True,0,
llama,gsm8k,s1,math,134,6,False,True,0,
llama,gsm8k,s1,math,171,7,False,True,0,
llama,gsm8k,s1,math,124,3,False,True,0,
llama,gsm8k,s1,math,136,11,False,True,-1,
llama,gsm8k,s1,math,101,6,False,True,-1,
