model,dataset,confidence,count,correct,accuracy,expected_acc,gap
mistral,gsm8k,5,19,9,47.37,50.0,-2.63
mistral,gsm8k,6,3,1,33.33,60.0,-26.67
mistral,gsm8k,7,12,2,16.67,70.0,-53.33
mistral,gsm8k,8,24,5,20.83,80.0,-59.17
mistral,gsm8k,9,59,14,23.73,90.0,-66.27
mistral,gsm8k,10,1182,745,63.03,100.0,-36.97
mistral,triviaqa,1,7,2,28.57,10.0,18.57
mistral,triviaqa,2,5,4,80.0,20.0,60.0
mistral,triviaqa,3,0,0,,0.3,
mistral,triviaqa,4,0,0,,0.4,
mistral,triviaqa,5,1,1,100.0,50.0,50.0
mistral,triviaqa,6,0,0,,0.6,
mistral,triviaqa,7,1,0,0.0,70.0,-70.0
mistral,triviaqa,8,14,3,21.43,80.0,-58.57
mistral,triviaqa,9,9,5,55.56,90.0,-34.44
mistral,triviaqa,10,963,762,79.13,100.0,-20.87
mistral,strategyqa,1,32,3,9.38,10.0,-0.62
mistral,strategyqa,2,0,0,,0.2,
mistral,strategyqa,3,22,0,0.0,30.0,-30.0
mistral,strategyqa,4,0,0,,0.4,
mistral,strategyqa,5,13,1,7.69,50.0,-42.31
mistral,strategyqa,6,1,0,0.0,60.0,-60.0
mistral,strategyqa,7,47,20,42.55,70.0,-27.45
mistral,strategyqa,8,142,79,55.63,80.0,-24.37
mistral,strategyqa,9,225,130,57.78,90.0,-32.22
mistral,strategyqa,10,1808,1187,65.65,100.0,-34.35
mistral,humaneval,1,3,0,0.0,10.0,-10.0
mistral,humaneval,2,2,0,0.0,20.0,-20.0
mistral,humaneval,3,0,0,,0.3,
mistral,humaneval,4,0,0,,0.4,
mistral,humaneval,5,4,1,25.0,50.0,-25.0
mistral,humaneval,6,0,0,,0.6,
mistral,humaneval,7,0,0,,0.7,
mistral,humaneval,8,1,0,0.0,80.0,-80.0
mistral,humaneval,9,17,5,29.41,90.0,-60.59
mistral,humaneval,10,137,22,16.06,100.0,-83.94
qwen,gsm8k,1,1261,931,73.83,10.0,63.83
qwen,gsm8k,2,2,2,100.0,20.0,80.0
qwen,gsm8k,3,3,1,33.33,30.0,3.33
qwen,gsm8k,4,2,2,100.0,40.0,60.0
qwen,gsm8k,5,21,15,71.43,50.0,21.43
qwen,gsm8k,6,2,1,50.0,60.0,-10.0
qwen,gsm8k,7,1,0,0.0,70.0,-70.0
qwen,gsm8k,8,2,2,100.0,80.0,20.0
qwen,gsm8k,9,2,1,50.0,90.0,-40.0
qwen,gsm8k,10,23,18,78.26,100.0,-21.74
qwen,triviaqa,1,148,91,61.49,10.0,51.49
qwen,triviaqa,2,5,3,60.0,20.0,40.0
qwen,triviaqa,3,9,7,77.78,30.0,47.78
qwen,triviaqa,4,3,2,66.67,40.0,26.67
qwen,triviaqa,5,822,477,58.03,50.0,8.03
qwen,triviaqa,6,3,3,100.0,60.0,40.0
qwen,triviaqa,7,1,0,0.0,70.0,-70.0
qwen,triviaqa,8,0,0,,0.8,
qwen,triviaqa,9,1,1,100.0,90.0,10.0
qwen,triviaqa,10,8,8,100.0,100.0,0.0
qwen,strategyqa,1,12,7,58.33,10.0,48.33
qwen,strategyqa,2,2,0,0.0,20.0,-20.0
qwen,strategyqa,3,24,12,50.0,30.0,20.0
qwen,strategyqa,4,27,15,55.56,40.0,15.56
qwen,strategyqa,5,2,1,50.0,50.0,0.0
qwen,strategyqa,6,9,4,44.44,60.0,-15.56
qwen,strategyqa,7,223,103,46.19,70.0,-23.81
qwen,strategyqa,8,485,277,57.11,80.0,-22.89
qwen,strategyqa,9,294,193,65.65,90.0,-24.35
qwen,strategyqa,10,1212,937,77.31,100.0,-22.69
qwen,humaneval,1,158,114,72.15,10.0,62.15
qwen,humaneval,2,1,1,100.0,20.0,80.0
qwen,humaneval,3,0,0,,0.3,
qwen,humaneval,4,0,0,,0.4,
qwen,humaneval,5,2,1,50.0,50.0,0.0
qwen,humaneval,6,0,0,,0.6,
qwen,humaneval,7,1,0,0.0,70.0,-70.0
qwen,humaneval,8,0,0,,0.8,
qwen,humaneval,9,0,0,,0.9,
qwen,humaneval,10,2,2,100.0,100.0,0.0
