model,dataset,outcome,critique_type,found_error,specific,y1_length
llama,triviaqa,CC,vague_fix,True,False,41
llama,triviaqa,CC,ambiguous,False,True,42
llama,triviaqa,CC,vague_fix,True,False,59
llama,triviaqa,CC,vague_fix,True,False,122
llama,triviaqa,CC,confirmed_correct,False,False,47
llama,triviaqa,CC,ambiguous,False,False,74
llama,triviaqa,CC,vague_fix,True,False,40
llama,triviaqa,CC,ambiguous,False,True,42
llama,triviaqa,CC,ambiguous,False,False,60
llama,triviaqa,CC,ambiguous,False,False,61
llama,triviaqa,CC,ambiguous,False,True,91
llama,triviaqa,CC,ambiguous,False,True,59
llama,triviaqa,CC,vague_fix,True,False,55
llama,triviaqa,CC,ambiguous,False,False,861
llama,triviaqa,CC,specific_fix,True,True,118
llama,triviaqa,CC,specific_fix,True,True,73
llama,triviaqa,CC,vague_fix,True,False,35
llama,triviaqa,CC,ambiguous,False,False,62
llama,triviaqa,CC,ambiguous,False,False,58
llama,triviaqa,CC,vague_fix,True,False,67
llama,triviaqa,CC,vague_fix,True,False,40
llama,triviaqa,CC,confirmed_correct,False,False,38
llama,triviaqa,CC,specific_fix,True,True,112
llama,triviaqa,CC,ambiguous,False,False,58
llama,triviaqa,CC,specific_fix,True,True,57
llama,triviaqa,CC,ambiguous,False,False,77
llama,triviaqa,CC,specific_fix,True,True,136
llama,triviaqa,CC,vague_fix,True,False,36
llama,triviaqa,CC,vague_fix,True,False,93
llama,triviaqa,CC,ambiguous,False,True,50
llama,triviaqa,CC,ambiguous,False,True,48
llama,triviaqa,CC,specific_fix,True,True,55
llama,triviaqa,CC,ambiguous,False,True,51
llama,triviaqa,CC,ambiguous,False,False,59
llama,triviaqa,CC,ambiguous,False,True,97
llama,triviaqa,CW,ambiguous,False,False,68
llama,triviaqa,CW,vague_fix,True,False,35
llama,triviaqa,CW,ambiguous,False,False,583
llama,triviaqa,CW,ambiguous,False,True,75
llama,triviaqa,CW,vague_fix,True,False,84
llama,triviaqa,CW,specific_fix,True,True,46
llama,triviaqa,CW,confirmed_correct,False,False,34
llama,triviaqa,CW,ambiguous,False,False,33
llama,triviaqa,CW,ambiguous,False,False,53
llama,triviaqa,CW,ambiguous,False,True,50
llama,triviaqa,CW,ambiguous,False,False,50
llama,triviaqa,CW,vague_fix,True,False,54
llama,triviaqa,CW,specific_fix,True,True,96
llama,triviaqa,CW,ambiguous,False,False,49
llama,triviaqa,CW,ambiguous,False,True,80
llama,triviaqa,CW,vague_fix,True,False,48
llama,triviaqa,CW,ambiguous,False,True,60
llama,triviaqa,CW,vague_fix,True,False,74
llama,triviaqa,CW,ambiguous,False,True,62
llama,triviaqa,WC,ambiguous,False,False,94
llama,triviaqa,WC,specific_fix,True,True,113
llama,triviaqa,WC,vague_fix,True,False,72
llama,triviaqa,WC,ambiguous,False,False,21
llama,triviaqa,WC,ambiguous,False,False,77
llama,triviaqa,WC,specific_fix,True,True,85
llama,triviaqa,WC,specific_fix,True,True,66
llama,triviaqa,WC,ambiguous,False,False,79
llama,triviaqa,WC,specific_fix,True,True,94
llama,triviaqa,WC,ambiguous,False,False,79
llama,triviaqa,WC,ambiguous,False,False,46
llama,triviaqa,WC,vague_fix,True,False,31
llama,triviaqa,WC,vague_fix,True,False,115
llama,triviaqa,WC,specific_fix,True,True,80
llama,triviaqa,WC,confirmed_correct,False,True,64
llama,triviaqa,WC,specific_fix,True,True,96
llama,triviaqa,WC,specific_fix,True,True,61
llama,triviaqa,WC,ambiguous,False,True,68
llama,triviaqa,WC,vague_fix,True,False,41
llama,triviaqa,WC,ambiguous,False,False,126
llama,triviaqa,WC,vague_fix,True,False,58
llama,triviaqa,WC,specific_fix,True,True,65
llama,triviaqa,WC,ambiguous,False,False,39
llama,triviaqa,WC,vague_fix,True,False,50
llama,triviaqa,WC,specific_fix,True,True,72
llama,triviaqa,WC,ambiguous,False,False,59
llama,triviaqa,WC,specific_fix,True,True,108
llama,triviaqa,WC,ambiguous,False,False,51
llama,triviaqa,WC,ambiguous,False,False,44
llama,triviaqa,WC,vague_fix,True,False,97
llama,triviaqa,WC,vague_fix,True,False,757
llama,triviaqa,WC,confirmed_correct,False,False,62
llama,triviaqa,WC,specific_fix,True,True,93
llama,triviaqa,WC,vague_fix,True,False,69
llama,triviaqa,WC,specific_fix,True,True,60
llama,triviaqa,WC,ambiguous,False,True,44
llama,triviaqa,WC,ambiguous,False,False,39
llama,triviaqa,WC,ambiguous,False,False,45
llama,triviaqa,WC,confirmed_correct,False,False,37
llama,triviaqa,WC,specific_fix,True,True,89
llama,triviaqa,WC,vague_fix,True,False,54
llama,triviaqa,WC,vague_fix,True,False,131
llama,triviaqa,WC,vague_fix,True,False,47
llama,triviaqa,WC,specific_fix,True,True,101
llama,triviaqa,WC,vague_fix,True,False,220
llama,triviaqa,WC,specific_fix,True,True,72
llama,triviaqa,WC,vague_fix,True,False,122
llama,triviaqa,WC,vague_fix,True,False,114
llama,triviaqa,WC,ambiguous,False,False,37
llama,triviaqa,WC,ambiguous,False,False,38
llama,triviaqa,WW,ambiguous,False,False,82
llama,triviaqa,WW,ambiguous,False,True,51
llama,triviaqa,WW,vague_fix,True,False,48
llama,triviaqa,WW,ambiguous,False,False,80
llama,triviaqa,WW,vague_fix,True,False,82
llama,triviaqa,WW,specific_fix,True,True,126
llama,triviaqa,WW,vague_fix,True,False,78
llama,triviaqa,WW,vague_fix,True,False,138
llama,triviaqa,WW,specific_fix,True,True,133
llama,triviaqa,WW,specific_fix,True,True,82
llama,triviaqa,WW,ambiguous,False,False,53
llama,triviaqa,WW,ambiguous,False,True,67
llama,triviaqa,WW,vague_fix,True,False,721
llama,triviaqa,WW,ambiguous,False,True,67
llama,triviaqa,WW,specific_fix,True,True,66
llama,triviaqa,WW,vague_fix,True,False,38
llama,triviaqa,WW,vague_fix,True,False,523
llama,triviaqa,WW,confirmed_correct,False,False,40
llama,triviaqa,WW,specific_fix,True,True,43
llama,triviaqa,WW,specific_fix,True,True,99
llama,triviaqa,WW,specific_fix,True,True,701
llama,triviaqa,WW,vague_fix,True,False,43
llama,triviaqa,WW,ambiguous,False,False,75
llama,triviaqa,WW,ambiguous,False,False,83
llama,triviaqa,WW,specific_fix,True,True,623
llama,triviaqa,WW,specific_fix,True,True,91
llama,triviaqa,WW,confirmed_correct,False,False,32
llama,triviaqa,WW,vague_fix,True,False,69
llama,triviaqa,WW,vague_fix,True,False,66
llama,triviaqa,WW,specific_fix,True,True,110
llama,triviaqa,WW,vague_fix,True,False,74
llama,triviaqa,WW,ambiguous,False,True,73
llama,triviaqa,WW,ambiguous,False,False,50
llama,triviaqa,WW,specific_fix,True,True,696
llama,triviaqa,WW,ambiguous,False,False,73
llama,triviaqa,WW,specific_fix,True,True,62
llama,triviaqa,WW,confirmed_correct,False,False,77
llama,triviaqa,WW,ambiguous,False,False,44
llama,triviaqa,WW,specific_fix,True,True,81
llama,triviaqa,WW,ambiguous,False,False,85
llama,triviaqa,WW,ambiguous,False,False,95
llama,triviaqa,WW,ambiguous,False,True,68
llama,triviaqa,WW,ambiguous,False,False,53
llama,triviaqa,WW,ambiguous,False,False,70
llama,triviaqa,WW,specific_fix,True,True,76
llama,triviaqa,WW,vague_fix,True,False,38
llama,triviaqa,WW,specific_fix,True,True,102
llama,triviaqa,WW,specific_fix,True,True,108
llama,triviaqa,WW,vague_fix,True,False,96
llama,triviaqa,WW,specific_fix,True,True,108
llama,strategyqa,CC,vague_fix,True,False,327
llama,strategyqa,CC,vague_fix,True,False,308
llama,strategyqa,CC,vague_fix,True,False,119
llama,strategyqa,CC,specific_fix,True,True,223
llama,strategyqa,CC,vague_fix,True,False,186
llama,strategyqa,CC,vague_fix,True,False,178
llama,strategyqa,CC,vague_fix,True,False,182
llama,strategyqa,CC,vague_fix,True,False,201
llama,strategyqa,CC,specific_fix,True,True,224
llama,strategyqa,CC,specific_fix,True,True,228
llama,strategyqa,CC,vague_fix,True,False,200
llama,strategyqa,CC,vague_fix,True,False,249
llama,strategyqa,CC,specific_fix,True,True,346
llama,strategyqa,CC,vague_fix,True,False,156
llama,strategyqa,CC,vague_fix,True,False,207
llama,strategyqa,CC,vague_fix,True,False,200
llama,strategyqa,CC,vague_fix,True,False,229
llama,strategyqa,CC,specific_fix,True,True,181
llama,strategyqa,CC,vague_fix,True,False,162
llama,strategyqa,CC,specific_fix,True,True,285
llama,strategyqa,CC,specific_fix,True,True,185
llama,strategyqa,CC,vague_fix,True,False,153
llama,strategyqa,CC,vague_fix,True,False,213
llama,strategyqa,CC,vague_fix,True,False,240
llama,strategyqa,CC,vague_fix,True,False,172
llama,strategyqa,CC,specific_fix,True,True,241
llama,strategyqa,CC,vague_fix,True,False,148
llama,strategyqa,CC,specific_fix,True,True,298
llama,strategyqa,CC,vague_fix,True,False,263
llama,strategyqa,CC,vague_fix,True,False,267
llama,strategyqa,CC,vague_fix,True,False,354
llama,strategyqa,CC,specific_fix,True,True,278
llama,strategyqa,CC,vague_fix,True,False,204
llama,strategyqa,CC,specific_fix,True,True,259
llama,strategyqa,CC,specific_fix,True,True,223
llama,strategyqa,CC,specific_fix,True,True,232
llama,strategyqa,CC,vague_fix,True,False,173
llama,strategyqa,CC,specific_fix,True,True,130
llama,strategyqa,CC,specific_fix,True,True,292
llama,strategyqa,CC,vague_fix,True,False,157
llama,strategyqa,CC,vague_fix,True,False,190
llama,strategyqa,CC,vague_fix,True,False,255
llama,strategyqa,CC,specific_fix,True,True,232
llama,strategyqa,CC,vague_fix,True,False,142
llama,strategyqa,CC,vague_fix,True,False,251
llama,strategyqa,CC,ambiguous,False,False,194
llama,strategyqa,CC,vague_fix,True,False,267
llama,strategyqa,CC,vague_fix,True,False,262
llama,strategyqa,CC,vague_fix,True,False,248
llama,strategyqa,CC,vague_fix,True,False,204
llama,strategyqa,CW,vague_fix,True,False,351
llama,strategyqa,CW,vague_fix,True,False,300
llama,strategyqa,CW,specific_fix,True,True,195
llama,strategyqa,CW,specific_fix,True,True,225
llama,strategyqa,CW,vague_fix,True,False,192
llama,strategyqa,CW,vague_fix,True,False,195
llama,strategyqa,CW,vague_fix,True,False,184
llama,strategyqa,CW,vague_fix,True,False,260
llama,strategyqa,CW,vague_fix,True,False,89
llama,strategyqa,CW,specific_fix,True,True,177
llama,strategyqa,CW,specific_fix,True,True,183
llama,strategyqa,CW,vague_fix,True,False,280
llama,strategyqa,CW,specific_fix,True,True,284
llama,strategyqa,CW,vague_fix,True,False,196
llama,strategyqa,CW,vague_fix,True,False,220
llama,strategyqa,CW,vague_fix,True,False,194
llama,strategyqa,CW,vague_fix,True,False,128
llama,strategyqa,CW,vague_fix,True,False,155
llama,strategyqa,CW,vague_fix,True,False,251
llama,strategyqa,CW,vague_fix,True,False,228
llama,strategyqa,CW,specific_fix,True,True,288
llama,strategyqa,CW,vague_fix,True,False,286
llama,strategyqa,CW,vague_fix,True,False,275
llama,strategyqa,CW,specific_fix,True,True,168
llama,strategyqa,CW,specific_fix,True,True,205
llama,strategyqa,CW,specific_fix,True,True,229
llama,strategyqa,CW,vague_fix,True,False,232
llama,strategyqa,CW,vague_fix,True,False,234
llama,strategyqa,CW,vague_fix,True,False,171
llama,strategyqa,CW,vague_fix,True,False,800
llama,strategyqa,CW,vague_fix,True,False,253
llama,strategyqa,CW,specific_fix,True,True,257
llama,strategyqa,CW,vague_fix,True,False,164
llama,strategyqa,CW,vague_fix,True,False,267
llama,strategyqa,CW,specific_fix,True,True,308
llama,strategyqa,CW,vague_fix,True,False,206
llama,strategyqa,CW,vague_fix,True,False,218
llama,strategyqa,CW,vague_fix,True,False,236
llama,strategyqa,CW,vague_fix,True,False,176
llama,strategyqa,CW,vague_fix,True,False,219
llama,strategyqa,CW,specific_fix,True,True,225
llama,strategyqa,CW,vague_fix,True,False,199
llama,strategyqa,CW,vague_fix,True,False,254
llama,strategyqa,CW,specific_fix,True,True,202
llama,strategyqa,CW,vague_fix,True,False,209
llama,strategyqa,CW,vague_fix,True,False,184
llama,strategyqa,CW,vague_fix,True,False,152
llama,strategyqa,CW,vague_fix,True,False,315
llama,strategyqa,CW,vague_fix,True,False,173
llama,strategyqa,CW,vague_fix,True,False,252
llama,strategyqa,WC,vague_fix,True,False,154
llama,strategyqa,WC,vague_fix,True,False,198
llama,strategyqa,WC,specific_fix,True,True,176
llama,strategyqa,WC,vague_fix,True,False,131
llama,strategyqa,WC,vague_fix,True,False,217
llama,strategyqa,WC,specific_fix,True,True,197
llama,strategyqa,WC,vague_fix,True,False,214
llama,strategyqa,WC,vague_fix,True,False,243
llama,strategyqa,WC,vague_fix,True,False,137
llama,strategyqa,WC,specific_fix,True,True,186
llama,strategyqa,WC,specific_fix,True,True,157
llama,strategyqa,WC,vague_fix,True,False,202
llama,strategyqa,WC,vague_fix,True,False,132
llama,strategyqa,WC,vague_fix,True,False,219
llama,strategyqa,WC,vague_fix,True,False,344
llama,strategyqa,WC,vague_fix,True,False,130
llama,strategyqa,WC,specific_fix,True,True,157
llama,strategyqa,WC,vague_fix,True,False,190
llama,strategyqa,WC,vague_fix,True,False,134
llama,strategyqa,WC,specific_fix,True,True,174
llama,strategyqa,WC,vague_fix,True,False,151
llama,strategyqa,WC,vague_fix,True,False,155
llama,strategyqa,WC,specific_fix,True,True,248
llama,strategyqa,WC,vague_fix,True,False,300
llama,strategyqa,WC,specific_fix,True,True,268
llama,strategyqa,WC,vague_fix,True,False,223
llama,strategyqa,WC,specific_fix,True,True,155
llama,strategyqa,WC,vague_fix,True,False,212
llama,strategyqa,WC,specific_fix,True,True,199
llama,strategyqa,WC,specific_fix,True,True,146
llama,strategyqa,WC,vague_fix,True,False,224
llama,strategyqa,WC,vague_fix,True,False,164
llama,strategyqa,WC,vague_fix,True,False,265
llama,strategyqa,WC,vague_fix,True,False,174
llama,strategyqa,WC,vague_fix,True,False,240
llama,strategyqa,WC,vague_fix,True,False,217
llama,strategyqa,WC,specific_fix,True,True,176
llama,strategyqa,WC,specific_fix,True,True,276
llama,strategyqa,WC,vague_fix,True,False,226
llama,strategyqa,WC,specific_fix,True,True,108
llama,strategyqa,WC,vague_fix,True,False,208
llama,strategyqa,WC,vague_fix,True,False,359
llama,strategyqa,WC,vague_fix,True,False,128
llama,strategyqa,WC,specific_fix,True,True,165
llama,strategyqa,WC,vague_fix,True,False,225
llama,strategyqa,WC,specific_fix,True,True,190
llama,strategyqa,WC,specific_fix,True,True,194
llama,strategyqa,WC,specific_fix,True,True,167
llama,strategyqa,WC,vague_fix,True,False,189
llama,strategyqa,WC,specific_fix,True,True,225
llama,strategyqa,WW,specific_fix,True,True,242
llama,strategyqa,WW,specific_fix,True,True,285
llama,strategyqa,WW,vague_fix,True,False,144
llama,strategyqa,WW,specific_fix,True,True,211
llama,strategyqa,WW,specific_fix,True,True,263
llama,strategyqa,WW,ambiguous,False,False,193
llama,strategyqa,WW,vague_fix,True,False,246
llama,strategyqa,WW,vague_fix,True,False,228
llama,strategyqa,WW,vague_fix,True,False,279
llama,strategyqa,WW,vague_fix,True,False,243
llama,strategyqa,WW,vague_fix,True,False,172
llama,strategyqa,WW,vague_fix,True,False,159
llama,strategyqa,WW,vague_fix,True,False,189
llama,strategyqa,WW,vague_fix,True,False,147
llama,strategyqa,WW,vague_fix,True,False,213
llama,strategyqa,WW,vague_fix,True,False,309
llama,strategyqa,WW,specific_fix,True,True,228
llama,strategyqa,WW,specific_fix,True,True,233
llama,strategyqa,WW,specific_fix,True,True,285
llama,strategyqa,WW,specific_fix,True,True,266
llama,strategyqa,WW,vague_fix,True,False,263
llama,strategyqa,WW,vague_fix,True,False,223
llama,strategyqa,WW,vague_fix,True,False,88
llama,strategyqa,WW,vague_fix,True,False,182
llama,strategyqa,WW,vague_fix,True,False,188
llama,strategyqa,WW,vague_fix,True,False,219
llama,strategyqa,WW,vague_fix,True,False,80
llama,strategyqa,WW,vague_fix,True,False,189
llama,strategyqa,WW,vague_fix,True,False,259
llama,strategyqa,WW,vague_fix,True,False,172
llama,strategyqa,WW,vague_fix,True,False,204
llama,strategyqa,WW,vague_fix,True,False,67
llama,strategyqa,WW,vague_fix,True,False,168
llama,strategyqa,WW,vague_fix,True,False,207
llama,strategyqa,WW,specific_fix,True,True,207
llama,strategyqa,WW,vague_fix,True,False,331
llama,strategyqa,WW,specific_fix,True,True,291
llama,strategyqa,WW,specific_fix,True,True,233
llama,strategyqa,WW,vague_fix,True,False,257
llama,strategyqa,WW,vague_fix,True,False,176
llama,strategyqa,WW,vague_fix,True,False,251
llama,strategyqa,WW,vague_fix,True,False,194
llama,strategyqa,WW,vague_fix,True,False,143
llama,strategyqa,WW,specific_fix,True,True,264
llama,strategyqa,WW,vague_fix,True,False,191
llama,strategyqa,WW,specific_fix,True,True,325
llama,strategyqa,WW,vague_fix,True,False,197
llama,strategyqa,WW,vague_fix,True,False,276
llama,strategyqa,WW,vague_fix,True,False,183
llama,strategyqa,WW,vague_fix,True,False,219
llama,humaneval,CC,specific_fix,True,True,282
llama,humaneval,CC,vague_fix,True,False,154
llama,humaneval,CC,vague_fix,True,False,195
llama,humaneval,CC,vague_fix,True,False,230
llama,humaneval,CC,vague_fix,True,False,125
llama,humaneval,CC,specific_fix,True,True,280
llama,humaneval,CC,specific_fix,True,True,150
llama,humaneval,CC,specific_fix,True,True,323
llama,humaneval,CC,vague_fix,True,False,224
llama,humaneval,CC,vague_fix,True,False,190
llama,humaneval,CC,specific_fix,True,True,243
